id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,apr,int_rate,installment,grade,sub_grade,emp_name,emp_length,home_ownership,annual_inc,is_inc_v,accept_d,exp_d,list_d,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,addr_city,addr_state,acc_now_delinq,acc_open_past_24mths,bc_open_to_buy,percent_bc_gt_75,bc_util,dti,delinq_2yrs,delinq_amnt,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,mths_since_recent_inq,mths_since_recent_loan_delinq,mths_since_recent_revol_delinq,mths_since_recent_bc,mort_acc,open_acc,pub_rec_gt_100,pub_rec,total_bal_ex_mort,revol_bal,revol_util,total_bc_limit,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,next_pymnt_amnt,last_credit_pull_d,last_fico_range_high,last_fico_range_low,total_il_high_credit_limit,mths_since_oldest_il_open,num_rev_accts,mths_since_recent_bc_dlq,pub_rec_bankruptcies,num_accts_ever_120_pd,chargeoff_within_12_mths,collections_12_mths_ex_med,tax_liens,mths_since_last_major_derog,num_sats,num_tl_op_past_12m,mo_sin_rcnt_tl,tot_hi_cred_lim,tot_cur_bal,avg_cur_bal,num_bc_tl,num_actv_bc_tl,num_bc_sats,pct_tl_nvr_dlq,num_tl_90g_dpd_24m,num_tl_30dpd,num_tl_120dpd_2m,num_il_tl,mo_sin_old_il_acct,num_actv_rev_tl,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,total_rev_hi_lim,num_rev_tl_bal_gt_0,num_op_rev_tl,tot_coll_amt
"54734","80364","25000.0","25000.0","19419.94"," 36 months","13.62%"," 11.89%","829.1","B","B4","","< 1 year","RENT","85000","TRUE","2009-07-26","2009-08-09","2009-07-26","2009-08-05","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=54734","Due to a lack of personal finance education and exposure to poor financing skills growing up, I was easy prey for credit predators. I am devoted to becoming debt-free and can assure my lenders that I will pay on-time every time. I have never missed a payment during the last 16 years that I have had credit. ","debt_consolidation","Debt consolidation for on-time payer","San Francisco","CA","0","","","","","19.48","0","0","1994-02-15 10:39","735","739","0","","","","","","","","10","","0","","28854.0","52.1%","","42","f","0.00","0.00","29324.32","23345.15","25000.00","4324.32","0.0","2011-10-14","7392.08","null","0","2012-08-28","789","785","","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"55742","114426","7000.0","7000.0","6549.4"," 36 months","11.40%"," 10.71%","228.22","B","B5","CNN","< 1 year","RENT","65000","FALSE","2008-05-12","2008-05-26","2008-05-12","2008-05-27","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=55742","Just want to pay off the last bit of credit card debt at a better rate.","credit_card","Credit Card payoff","Brooklyn","NY","0","","","","","14.29","0","0","2000-10-21 12:30","705","709","0","","","","","","","","7","","0","","33623.0","76.7%","","7","f","0.00","0.00","8215.45","7758.80","7000.00","1215.45","0.0","2011-06-02","228.48","null","0","2012-08-06","679","675","","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"57245","138150","1200.0","1200.0","1200.0"," 36 months","16.22%"," 13.11%","40.5","C","C2","city of beaumont texas","10+ years","OWN","54000","FALSE","2010-03-11","2010-03-25","2010-03-11","2010-03-22","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=57245","If funded, I would use this loan consolidate two loans with interest rates of 15 and 16 percent respectively.   I have no mortgage.  One car is paid for and the other I bought from my sister.  I pay her $200 / month.  I owe her about $1000.  The biggest monthly expense we have is tuition for two kids going to Catholic School, ($600 / month).    I have been on the same job since 1990, with a salary of $54,000.  My husband has been on the same job since 1995, with a salary of $30,000.  My monthy expenses run about $2750.    Borrower added on 03/11/10 > We have really worked hard to clean up our credit during the past five years.  We are really wanting to use this loan to continue that by paying off higher interest loans with this loan.<br/>","debt_consolidation","zxcvb","beaumont","TX","0","","","","","5.47","0","0","1985-01-21 05:20","675","679","0","64","","","","","","","5","","0","","2584.0","40.4%","","31","f","0.00","0.00","1457.31","1457.31","1200.00","257.31","0.0","2013-03-29","42.73","null","0","2013-03-25","709","705","","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"57416","139635","10800.0","10800.0","10637.65"," 36 months","16.17%"," 13.57%","366.86","C","C3","State Farm Insurance","6 years","RENT","32000","FALSE","2009-11-04","2009-11-18","2009-11-04","2009-11-12","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=57416","I currently have a personal loan with Citifinancial that I have a high interest rate on I need 7000 to pay this off.  I also have 3 other creidit cards I would like to pay off with this loan to get this into one easy payment.  139635 added on 11/04/09 > Having one monthly payment will be a lot easier instead of making multiple payments to different companies.  I have paid all of my bills on time<br/>","debt_consolidation","Nicolechr1978","Waterbury","CT","0","","","","","11.63","0","0","1996-12-12 07:47","680","684","1","58","","","","","","","14","","0","","3511.0","25.6%","","40","f","0.00","0.00","13195.27","13009.30","10800.01","2395.26","0.0","2012-11-23","398.0","null","0","2012-12-21","674","670","","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"58524","149512","7200.0","7200.0","1800.0"," 36 months","22.81%"," 19.05%","264.11","D","D4","Arkwright","9 years","RENT","58000","FALSE","2012-08-14","2012-08-28","2012-08-14","2012-08-21","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=58524","Credit cards are out of here, I am tired of being in debt.  I have a girlfriend and her daughter, that I am starting a life with.  I will pay all of this off one way or another, but I would rather do it with your help instead of the faceless bank!  Can you help me?  ","debt_consolidation","caminijio","West Warwick","RI","0","4","426","75","90.1","2.05","0","0","1994-04-21 08:46","660","664","0","26","","9","","26","8","3","6","0","0","3874","3874.0","90.1%","4300","25","f","6101.13","1526.08","1846.95","460.39","1098.87","748.08","0.0","2013-03-27","264.11","2013-04-21","0.0","2013-03-25","659","655","0","150","15","51","0","1","0","0","0","30","6","3","8","160300","154930","30986","11","4","4","84","0","0","0","6","150","4","223","8","4300","4","5","0"
"58915","153417","7500.0","5025.0","4912.74"," 36 months","10.77%"," 10.08%","162.34","B","B3","QUalcomm Inc","3 years","RENT","85000","FALSE","2008-04-08","2008-04-22","2008-04-08","2008-04-23","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=58915","Hi :         Thanks for stopping by. I've accrued close to $30,000 expenses while finishing masters degree in computer science.         Now i've a very good job and paying off one card by another. I want to consolidate all the debt at low APR and get rid of all the high APR cards.  Thanks -N ","debt_consolidation","sdguy","San Diego","CA","0","","","","","8.1","0","0","2000-11-16 01:16","710","714","1","","","","","","","","3","","0","","33667.0","73.2%","","11","f","0.00","0.00","5843.8","5730.59","5024.99","818.81","0.0","2011-04-28","162.63","null","0","2011-05-16","774","770","","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"59006","154254","3000.0","3000.0","3000.0"," 36 months","16.88%"," 14.26%","102.92","C","C5","","3 years","MORTGAGE","80800","FALSE","2009-09-14","2009-09-28","2009-09-14","2009-09-18","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=59006","I am seeking to refinance a credit account which I closed with a balance when I rejected the new terms of the cardmember agreement.  This closed account is adversely affecting my credit utilization percentage and I would prefer to move it to a fixed-rate loan.  I am a software developer who has been in a stable position with the same company since 2004.  I am up-to-date on all payments and am seeking only to reduce the interest rate of this debt.    Thank you for your consideration.","credit_card","Rejecting new cardmember agreement","Pearland","TX","0","","","","","14.97","1","0","1998-07-28 10:52","665","669","0","13","0","","","","","","13","","0","","4740.0","39.5%","","23","f","0.00","0.00","3703.38","3703.38","3000.00","703.38","0.0","2012-10-04","111.23","null","0","2012-09-26","694","690","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"61390","182594","4000.0","4000.0","3900.0"," 36 months","9.39%","  7.88%","125.13","A","A5","","< 1 year","MORTGAGE","148000","FALSE","2010-02-06","2010-02-20","2010-02-06","2010-02-16","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=61390","I am searching for a lower rate.  I am very trustworthy and pay my bills on time but my debt ratio has been a little high over the years and my credit card rate has gone wild!    I would rather see the common man get my money than the banking industry so here I am. Borrower added on 02/06/10 > I will have all credit card debt eliminated in under two years.<br/>","credit_card","ilikehorses","FRIENDSWOOD","TX","0","","","","","16.98","0","0","1993-05-06 09:46","725","729","0","","","","","","","","11","","0","","50807.0","51%","","19","f","0.00","0.00","4451.17","4339.90","4000.00","451.17","0.0","2012-03-21","1454.31","null","0","2012-03-18","744","740","","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"61419","182917","5600.0","5600.0","5525.0"," 36 months","18.11%"," 14.96%","194.02","D","D2","Pension Benefit Guaranty Corporation","1 year","RENT","45000","FALSE","2010-02-16","2010-03-02","2010-02-16","2010-02-22","Charged Off","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=61419","This loan is for the purpose of gaining legal custody and visitation rights for my daughter. I want to hire an attorney of quality that will help me obtain my goal.  My daughter lives in another state and I just want what is my mine legally and naturally as her father. I love her very much, she is 5 years old and also loves me very much. ","debt_consolidation","Athomas74","Germantown","MD","0","","","","","4","0","0","2001-06-03 12:46","665","669","0","38","63","","","","","","5","","1","","3839.0","76.8%","","9","f","0.00","0.00","6431.76","6345.65","5220.69","1211.07","0.0","2012-10-09","194.02","null","0","2013-03-25","499","0","","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"327046","327034","10000.0","4500.0","2251.75"," 36 months","12.06%"," 11.03%","147.39","C","C1","Self","4 years","MORTGAGE","80000","FALSE","2008-04-04","2008-04-18","2008-04-04","2008-04-21","Charged Off","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=327046","I have never been late on payments.  I have a FICO score of 718 on Transunion; yet, my bank has raised my interest rate to confiscatory levels.  I will use this loan to pay off several credit cards and cut those suckers up.  ","credit_card","Get out of debt in three years","Gainesville","GA","0","","","","","11.03","0","0","1979-02-06 08:54","695","699","0","","","","","","","","8","","0","","43712.0","82.5%","","14","f","0.00","0.00","1767.96","1767.96","1338.12","429.84","0.0","2009-04-23","147.39","null","0","2009-10-06","499","0","","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","",""
