id,member_id,loan_amnt,funded_amnt,term,apr,int_rate,exp_default_rate,service_fee_rate,installment,grade,sub_grade,emp_name,emp_length,emp_status,home_ownership,annual_inc,is_inc_v,accept_d,exp_d,list_d,credit_pull_d,review_status_d,review_status,url,desc,purpose,title,addr_city,addr_state,msa,acc_now_delinq,acc_open_past_24mths,bc_open_to_buy,percent_bc_gt_75,bc_util,dti,delinq_2yrs,delinq_amnt,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,mths_since_recent_inq,mths_since_recent_loan_delinq,mths_since_recent_revol_delinq,mths_since_recent_bc,mort_acc,open_acc,pub_rec_gt_100,pub_rec,total_bal_ex_mort,revol_bal,revol_util,total_bc_limit,total_acc,total_il_high_credit_limit,mths_since_oldest_il_open,num_rev_accts,mths_since_recent_bc_dlq,initial_list_status,ils_exp_d,pub_rec_bankruptcies,num_accts_ever_120_pd,chargeoff_within_12_mths,collections_12_mths_ex_med,tax_liens,mths_since_last_major_derog,num_sats,num_tl_op_past_12m,mo_sin_rcnt_tl,tot_hi_cred_lim,tot_cur_bal,avg_cur_bal,num_bc_tl,num_actv_bc_tl,num_bc_sats,pct_tl_nvr_dlq,num_tl_90g_dpd_24m,num_tl_30dpd,num_tl_120dpd_2m,num_il_tl,mo_sin_old_il_acct,num_actv_rev_tl,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,total_rev_hi_lim,num_rev_tl_bal_gt_0,num_op_rev_tl,tot_coll_amt
"5608074","6990406","20250.0","19625.0","60","26.20","23.63","8.79","0.47","578.22","F","F3","tyco integreated security","10+ years","Employed","MORTGAGE","45000.0","FALSE","06-09-2013 18:37:37","06-23-2013 18:47:14","06-10-2013 06:01:22","06-09-2013 18:37:14"," ","Submitted","https://www.lendingclub.com/browse/loanDetail.action?loan_id=5608074","  Borrower added on 06/09/13 > roof repair and to pay off some bills<br><br> Borrower added on 06/09/13 > roof replacement and siding<br>","Home improvement","Home improvement","MAYNARDVILLE","TN","","0","5","1710","50.0","73.3","22.53","0","0.0","03-28-1987 17:37:14","680","684","3","37"," ","2","37","37","2","3","11","0","0","18626","6186.0","68.7","6400","21","19046"," ","14"," ","w","06-10-2013 18:00:00","0","0","0","0","0","null","11","4","2","145974","125219","12522","9","3","4","95","0","0","0","4","100","5","319","2","9000","5","7","100",
"5777644","7209842","20000.0","18625.0","60","18.17","15.80","4.40","0.45","484.24","C","C3","","n/a","Other","OWN","48000.0","FALSE","06-09-2013 19:10:26","06-23-2013 19:12:02","06-10-2013 06:01:23","06-09-2013 15:41:49"," ","Submitted","https://www.lendingclub.com/browse/loanDetail.action?loan_id=5777644"," ","Debt consolidation","payoff credit cards","LIVINGSTON","LA","","0","1","2478","50.0","86.8","23.13","1","0.0","01-20-1994 14:41:49","665","669","0","17"," ","20","60","17","20","1","6","0","0","34078","16322.0","84.6","18800","20","30907","148","13","65","f","06-10-2013 06:00:00","0","5","0","0","0","18","6","0","20","50207","34078","5680","10","3","4","55","1","0","0","6","148","3","233","20","19300","3","5","0",
"5796537","7228705","16800.0","16550.0","36","7.99","6.62","0.95","0.68","515.83","A","A2","IBM INDIA PRIVATE LIMITED","9 years","Employed","RENT","72000.0","FALSE","06-10-2013 22:18:57","06-24-2013 22:27:43","06-11-2013 06:01:46","06-10-2013 22:18:07"," ","Submitted","https://www.lendingclub.com/browse/loanDetail.action?loan_id=5796537"," ","Credit card refinancing","Creditcard Debit","SACRAMENTO","CA","","0","1","18151","0.0","28.8","1.94","0","0.0","12-09-2007 21:18:07","730","734","0"," "," ","13"," "," ","11","0","7","0","0","7370","7370.0","27.8","25500","11","0"," ","9"," ","f","06-11-2013 06:00:00","0","0","0","0","0","null","7","1","11","26500","7370","1228","7","4","5","100","0","0","0","1","60","5","67","11","26500","5","6","0",
"5795870","7228042","21725.0","21125.0","60","23.50","21.00","7.00","0.46","587.74","E","E2","","n/a","Other","RENT","49000.0","FALSE","06-10-2013 11:14:01","06-24-2013 11:31:09","06-10-2013 14:01:54","06-10-2013 11:07:53"," ","Submitted","https://www.lendingclub.com/browse/loanDetail.action?loan_id=5795870"," ","Debt consolidation","the consolidator","FILLMORE","CA","","0","4","126","100.0","98.7","20.69","0","0.0","10-16-2000 11:07:53","680","684","0"," "," ","15"," "," ","62","0","10","0","0","26740","26740.0","88.0","9800","22","0","87","18"," ","f","06-10-2013 14:00:00","0","0","0","0","0","null","10","0","15","30400","26740","2674","7","2","2","100","0","0","0","4","154","9","137","15","30400","9","10","0",
"5766669","7198836","33000.0","32050.0","60","23.50","21.00","7.00","0.46","892.77","E","E2","","10+ years","Self-employed","MORTGAGE","91000.0","FALSE","06-10-2013 07:33:20","06-24-2013 07:35:41","06-10-2013 10:01:21","06-08-2013 20:14:40"," ","Submitted","https://www.lendingclub.com/browse/loanDetail.action?loan_id=5766669","  Borrower added on 06/11/13 > The majority of these bills are from everyday needs and not a lavish lifestyle.  Hardworking family that depends on Mother Nature and when she is cranky things don't go so well.  Bills are paid.  Just need a hand to get better organized.<br>","Debt consolidation","Debt consolidation","Belle Chasse","LA","","0","4","8184","75.0","81.2","17.13","1","0.0","10-23-1987 20:14:40","680","684","0","4"," "," "," ","4","3","6","11","0","0","55308","40623.0","67.4","43500","31","16686","96","20"," ","f","06-10-2013 10:00:00","0","0","0","0","0","null","11","2","3","369786","337688","37521","15","4","5","96","0","0","0","5","132","6","225","3","60300","6","9","0",
"5767923","7200130","24000.0","22850.0","60","19.68","17.27","4.95","0.45","599.96","C","C5","Midland Sports Inc.","10+ years","Employed","MORTGAGE","125000.0","FALSE","06-10-2013 06:48:49","06-24-2013 06:52:04","06-10-2013 10:01:21","06-10-2013 06:46:08"," ","Submitted","https://www.lendingclub.com/browse/loanDetail.action?loan_id=5767923"," ","Debt consolidation","Debt consolidation","MIDLAND","TX","","0","7","12378","50.0","70.7","21.72","0","0.0","08-14-1995 06:46:08","695","699","2","78"," ","3"," "," ","2","3","15","0","0","93173","39352.0","67.6","42270","39","76421","140","25"," ","f","06-10-2013 10:00:00","0","0","0","0","0","null","15","4","2","394417","337611","24115","13","5","6","97","0","0","0","10","140","7","217","2","58170","7","9","0",
"5685150","7097312","17000.0","16175.0","60","16.67","14.33","3.85","0.44","398.48","C","C1","UCLA","10+ years","Employed","RENT","55000.0","FALSE","06-07-2013 15:42:48","06-24-2013 13:54:14","06-10-2013 14:01:53","06-07-2013 15:36:28"," ","Submitted","https://www.lendingclub.com/browse/loanDetail.action?loan_id=5685150"," ","Debt consolidation","Freedom","CULVER CITY","CA","","0","3","2724","60.0","86.0","15.23","0","0.0","03-24-1993 14:36:28","695","699","0","43"," "," "," ","43","4","1","8","0","0","17453","17453.0","78.6","19500","22","0","246","12","43","f","06-10-2013 14:00:00","0","0","0","0","0","null","8","1","4","22200","17453","2493","10","5","6","95","0","0","0","9","246","6","190","4","22200","6","8","0",
"5768926","7201149","4000.0","3625.0","36","15.99","13.11","3.50","0.70","134.99","B","B4","The Alliance College Ready Public School","2 years","Employed","MORTGAGE","60000.0","FALSE","06-10-2013 23:52:16","06-24-2013 23:56:26","06-11-2013 06:01:45","06-10-2013 23:48:49"," ","Submitted","https://www.lendingclub.com/browse/loanDetail.action?loan_id=5768926"," ","Credit card refinancing","Credit Card Refinance Loan","DOWNEY","CA","","0","10","10322","50.0","77.1","26.88","0","0.0","12-01-1997 22:48:49","710","714","3","43"," ","1"," ","43","1","2","18","0","0","92045","36212.0","71.4","45102","47","65787","166","23"," ","w","06-11-2013 18:00:00","0","0","0","0","0","null","18","3","1","383367","358502","21088","12","5","6","97","0","0","0","22","176","7","189","1","50702","7","10","0",
"5795275","7227440","30000.0","26600.0","60","26.20","23.63","8.79","0.47","856.61","F","F3","","10+ years","Self-employed","RENT","96000.0","FALSE","06-09-2013 13:27:15","06-23-2013 13:34:24","06-09-2013 14:02:07","06-09-2013 13:25:57"," ","Submitted","https://www.lendingclub.com/browse/loanDetail.action?loan_id=5795275","  Borrower added on 06/09/13 > I covered the cost of a business expansion w/ credit &amp; small loans in lieu of a full business loan. This was good at the time (I didn't borrow more than I needed). Business is now good, but several small loans have skyrocketing rates and I hope to consolidate into one manageable payment. Thank you.<br>","Credit card refinancing","Consolidate and Reorder/Payoff Loan","indian harbour beach","FL","","0","4","625","50.0","63.2","5.78","1","0.0","11-11-1995 12:25:57","665","669","0","6","92"," "," ","6","75","6","10","1","1","18583","9604.0","56.5","1700","20","12474"," ","11","6","f","06-09-2013 14:00:00","1","0","0","0","0","null","10","2","9","29474","18583","2323","4","2","3","90","0","0","0","3","85","5","214","9","17000","5","9","0",
"5796301","7228465","18000.0","17300.0","60","18.67","16.29","4.70","0.45","440.51","C","C4","First student","10+ years","Employed","MORTGAGE","59000.0","FALSE","06-10-2013 17:08:57","06-24-2013 17:23:39","06-10-2013 18:01:42","06-10-2013 16:50:07"," ","Submitted","https://www.lendingclub.com/browse/loanDetail.action?loan_id=5796301","  Borrower added on 06/10/13 > Going to pay off all my credit cards &amp; misc. small loans, worked at same job for 33 years, lived in same place for 26 years<br>","Debt consolidation","digging-out","MERTZTOWN","PA","","0","3","4768","60.0","63.3","22.74","0","0.0","10-27-1998 15:50:07","695","699","3","78"," ","3"," ","81","8","2","11","0","0","27578","9489.0","62.0","13000","23","40799","35","10","81","f","06-10-2013 18:00:00","0","0","0","0","0","null","11","2","3","56099","27578","2507","6","4","5","91","0","0","0","11","178","6","154","8","15300","6","7","0",
